epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,32.5606,0.91147,4.89547,0.0173,0.43451,0.13413,0.12259,0.069,1.33993,7.78371,0.03935,0.000331096,0.000331096,0.000331096
2,50.8684,0.94837,3.6079,0.01796,0.58374,0.28377,0.26343,0.15889,1.20468,5.17666,0.03321,0.000661141,0.000661141,0.000661141
3,67.5168,0.98192,2.85172,0.01912,0.61892,0.34786,0.34378,0.1979,1.25763,3.72167,0.03434,0.000987885,0.000987885,0.000987885
4,86.0523,0.97672,2.38462,0.0185,0.64834,0.30667,0.32293,0.1907,1.31631,2.94761,0.03803,0.00098515,0.00098515,0.00098515
5,103.874,0.97709,2.14699,0.01861,0.63864,0.35715,0.38268,0.22041,1.32664,2.41723,0.03724,0.0009802,0.0009802,0.0009802
6,122.361,0.96573,1.92521,0.01821,0.66483,0.39068,0.41557,0.2567,1.25385,2.20063,0.03428,0.00097525,0.00097525,0.00097525
7,141.132,0.9672,1.86423,0.01788,0.63727,0.39358,0.38187,0.23738,1.20889,2.1877,0.03263,0.0009703,0.0009703,0.0009703
8,159.624,0.9329,1.78299,0.01747,0.67741,0.38751,0.40536,0.25629,1.24197,2.07419,0.03423,0.00096535,0.00096535,0.00096535
9,177.116,0.95305,1.74858,0.01788,0.67569,0.38572,0.40823,0.25389,1.25299,2.00394,0.03467,0.0009604,0.0009604,0.0009604
10,193.959,0.95254,1.68441,0.01788,0.50583,0.41785,0.45037,0.27598,1.26776,1.78676,0.03547,0.00095545,0.00095545,0.00095545
11,210.515,0.92375,1.65593,0.01709,0.67179,0.41997,0.45452,0.29234,1.23367,1.73181,0.03281,0.0009505,0.0009505,0.0009505
12,227.733,0.92055,1.60858,0.01741,0.70497,0.42098,0.454,0.29211,1.1797,1.75836,0.03054,0.00094555,0.00094555,0.00094555
13,244.386,0.92502,1.5296,0.01698,0.70965,0.43321,0.48332,0.32142,1.15281,1.70633,0.02967,0.0009406,0.0009406,0.0009406
14,261.108,0.90239,1.5326,0.01722,0.58756,0.50905,0.48914,0.307,1.23767,1.65545,0.03343,0.00093565,0.00093565,0.00093565
15,278.686,0.90747,1.47618,0.01689,0.5997,0.54537,0.52926,0.34682,1.16872,1.62644,0.03048,0.0009307,0.0009307,0.0009307
16,296.644,0.91444,1.49756,0.01664,0.60535,0.48965,0.51977,0.33292,1.18505,1.54912,0.03082,0.00092575,0.00092575,0.00092575
17,313.994,0.88918,1.42648,0.01641,0.58722,0.43033,0.45212,0.28272,1.27115,1.85593,0.03509,0.0009208,0.0009208,0.0009208
18,331.006,0.90764,1.45183,0.01654,0.60741,0.42844,0.48328,0.31479,1.17124,1.71349,0.03062,0.00091585,0.00091585,0.00091585
19,348.843,0.90216,1.43388,0.01647,0.67427,0.52268,0.55767,0.36981,1.18581,1.5632,0.03179,0.0009109,0.0009109,0.0009109
20,367.147,0.89194,1.41744,0.01643,0.62839,0.48856,0.53739,0.34285,1.12777,1.59927,0.02872,0.00090595,0.00090595,0.00090595
21,384.272,0.90086,1.38772,0.01648,0.618,0.48602,0.52925,0.34271,1.16783,1.62259,0.03006,0.000901,0.000901,0.000901
22,401.264,0.8943,1.35963,0.01625,0.63151,0.51781,0.57646,0.37641,1.1608,1.47577,0.02997,0.00089605,0.00089605,0.00089605
23,418.053,0.88957,1.37502,0.01643,0.70136,0.49252,0.56184,0.36561,1.18616,1.51471,0.03121,0.0008911,0.0008911,0.0008911
24,434.897,0.88537,1.33916,0.01626,0.65445,0.50941,0.56958,0.36637,1.12818,1.51556,0.02864,0.00088615,0.00088615,0.00088615
25,451.64,0.86213,1.29144,0.01563,0.60676,0.50824,0.55595,0.37771,1.14352,1.43318,0.02962,0.0008812,0.0008812,0.0008812
26,468.466,0.87416,1.31903,0.0156,0.62768,0.52865,0.56454,0.36252,1.13568,1.49042,0.02843,0.00087625,0.00087625,0.00087625
27,485.215,0.87313,1.29913,0.01619,0.63051,0.5039,0.57934,0.3783,1.12524,1.44614,0.02868,0.0008713,0.0008713,0.0008713
28,501.879,0.87809,1.25679,0.01611,0.72897,0.52494,0.58659,0.38032,1.218,1.52461,0.0318,0.00086635,0.00086635,0.00086635
